지표,공통건수,기준조건,비교조건,Spearman_rho,Kendall_tau_b,Spearman_p_t근사,Pearson_r,값차_중앙값,절대값차_중앙값,절대값차_p90,절대값차_최대,top2_겹침률,top3_겹침률,top2_안전배수,top3_안전배수
ranking_score,6,1단계_전체,1단계_축소,0.7084,0.6172,0.1151,0.807,0.0,0.005,0.03,0.03,1.0,0.6667,1.0,1.333
pLDDT평균,6,1단계_전체,1단계_축소,1.0,1.0,,0.9511,-0.4027,0.6993,1.9291,2.1172,1.0,1.0,1.0,1.0
pTM,6,1단계_전체,1단계_축소,0.8407,0.6901,0.03606,0.8923,0.0,0.005,0.03,0.03,1.0,0.6667,1.0,1.333
pLDDT_90이상비율,6,1단계_전체,1단계_축소,0.9429,0.8667,0.004805,0.9271,-0.0133,0.0245,0.0554,0.0607,1.0,0.6667,1.0,1.333
