ts,phase,condition,cache,order,n_targets,n_bucket_switches,rep,wall_s,wall_per_target_s,infer_s_sum,infer_s_first,infer_s_median,feat_s_sum,per_target_infer_json,order_buckets_json,peak_vram_mib,load1_before,rc,note,finding,measured_on,msa_mode
2026-08-19T06:04:26,sort_effect,sorted,on,sorted,12,1,1,109.3,9.11,91.3,7.95,9.43,7.17,"[7.95, 6.89, 4.2, 4.2, 4.2, 4.2, 12.49, 9.44, 9.43, 9.43, 9.44, 9.43]","[128, 128, 128, 128, 128, 128, 256, 256, 256, 256, 256, 256]",2953,1.06,0,"버킷128 6 + 버킷256 6, 전환 1회",단일 프로세스 안에서는 버킷별 컴파일이 각 버킷 첫 등장에서 1회만 발생하고 프로세스 수명 동안 유지된다. 전환 횟수(1회 vs 11회)와 무관 → 길이순 정렬의 이득 0.00초/건,ssh:gpu-5070ti (RTX 5070 Ti 16GB),MSA-free (--norun_data_pipeline)
2026-08-19T06:06:16,sort_effect,interleaved,on,interleaved,12,11,1,109.3,9.11,91.42,7.99,9.43,7.16,"[7.99, 12.54, 6.89, 9.44, 4.2, 9.44, 4.2, 9.44, 4.2, 9.43, 4.21, 9.44]","[128, 256, 128, 256, 128, 256, 128, 256, 128, 256, 128, 256]",2962,1.64,0,"버킷128 6 + 버킷256 6, 전환 11회",단일 프로세스 안에서는 버킷별 컴파일이 각 버킷 첫 등장에서 1회만 발생하고 프로세스 수명 동안 유지된다. 전환 횟수(1회 vs 11회)와 무관 → 길이순 정렬의 이득 0.00초/건,ssh:gpu-5070ti (RTX 5070 Ti 16GB),MSA-free (--norun_data_pipeline)
2026-08-19T06:08:47,sort_effect,sorted,off,sorted,12,1,1,151.0,12.58,132.76,21.31,9.43,7.33,"[21.31, 20.3, 4.19, 4.19, 4.19, 4.19, 27.22, 9.43, 9.44, 9.44, 9.43, 9.43]","[128, 128, 128, 128, 128, 128, 256, 256, 256, 256, 256, 256]",2955,1.79,0,"버킷128 6 + 버킷256 6, 전환 1회",단일 프로세스 안에서는 버킷별 컴파일이 각 버킷 첫 등장에서 1회만 발생하고 프로세스 수명 동안 유지된다. 전환 횟수(1회 vs 11회)와 무관 → 길이순 정렬의 이득 0.00초/건,ssh:gpu-5070ti (RTX 5070 Ti 16GB),MSA-free (--norun_data_pipeline)
2026-08-19T06:11:19,sort_effect,interleaved,off,interleaved,12,11,1,151.8,12.65,133.55,21.89,9.44,7.27,"[21.89, 27.17, 20.5, 9.44, 4.2, 9.44, 4.2, 9.44, 4.19, 9.44, 4.2, 9.44]","[128, 256, 128, 256, 128, 256, 128, 256, 128, 256, 128, 256]",2963,1.9,0,"버킷128 6 + 버킷256 6, 전환 11회",단일 프로세스 안에서는 버킷별 컴파일이 각 버킷 첫 등장에서 1회만 발생하고 프로세스 수명 동안 유지된다. 전환 횟수(1회 vs 11회)와 무관 → 길이순 정렬의 이득 0.00초/건,ssh:gpu-5070ti (RTX 5070 Ti 16GB),MSA-free (--norun_data_pipeline)
2026-08-19T06:13:09,sort_effect,interleaved,on,interleaved,12,11,2,109.3,9.11,91.27,7.91,9.43,7.19,"[7.91, 12.51, 6.86, 9.45, 4.2, 9.44, 4.2, 9.43, 4.2, 9.43, 4.2, 9.44]","[128, 256, 128, 256, 128, 256, 128, 256, 128, 256, 128, 256]",2961,1.99,0,"버킷128 6 + 버킷256 6, 전환 11회",단일 프로세스 안에서는 버킷별 컴파일이 각 버킷 첫 등장에서 1회만 발생하고 프로세스 수명 동안 유지된다. 전환 횟수(1회 vs 11회)와 무관 → 길이순 정렬의 이득 0.00초/건,ssh:gpu-5070ti (RTX 5070 Ti 16GB),MSA-free (--norun_data_pipeline)
